experiment,test_source,feature_type,model_type,model,f1,mcc,roc,pr,bal_acc,acc,best_params,train_samples,test_samples,anomaly_rate
Apache_bert,Apache,bert,supervised,nb,0.6415954415954416,0.4828607929944648,0.9587960166272915,0.9482096824718583,0.7606537276832441,0.6855,{'var_smoothing': 1e-09},10000,2000,0.2975
Apache_bert,Apache,bert,supervised,lr,0.9898132427843803,0.9856643101758447,0.9909853763569485,0.9895926868123296,0.9899159663865547,0.994,"{'C': 1.0, 'penalty': 'l2', 'solver': 'lbfgs'}",10000,2000,0.2975
Apache_bert,Apache,bert,supervised,knn,0.45334370139968894,-0.05290604958872485,0.7243966625796227,0.7129435562360708,0.4938305571338856,0.297,"{'n_neighbors': 3, 'weights': 'distance'}",10000,2000,0.2975
Apache_bert,Apache,bert,supervised,svm,0.5894006934125805,0.41388202739459934,0.9660575974161908,0.9619259897650472,0.704982206405694,0.5855,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",10000,2000,0.2975
Apache_bert,Apache,bert,supervised,dt,0.24742268041237114,0.1606945141012973,0.5478895899997009,0.502822372631326,0.5504231585872783,0.708,"{'max_depth': 10, 'min_samples_split': 2}",10000,2000,0.2975
Apache_bert,Apache,bert,supervised,rf,0.09032258064516129,-0.16888741789460818,0.48312928018182366,0.26970291252658857,0.43102365501360684,0.577,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",10000,2000,0.2975
Apache_bert,Apache,bert,supervised,gb,0.22652757078986588,0.3054104842074011,0.9922210592422023,0.9755732714251784,0.5638655462184874,0.7405,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50}",10000,2000,0.2975
Apache_bert,Apache,bert,supervised,xgb,0.0949367088607595,0.1541538848555861,0.978589072639732,0.8770425674006548,0.5227189808307665,0.714,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50}",10000,2000,0.2975
Apache_bert,Apache,bert,unsupervised,iso,0.0,0.0,0.06143245910463829,0.16896094900538552,0.5,0.7025,N/A,10000,2000,0.2975
Apache_bert,Apache,bert,unsupervised,ocsvm,0.054474708171206226,-0.9333595035989558,0.06532252758754747,0.16979983627517625,0.047058823529411764,0.028,N/A,10000,2000,0.2975
Apache_bert,Apache,bert,unsupervised,lof,0.45857418111753373,0.0,0.3787027124016866,0.23938631967367957,0.5,0.2975,N/A,10000,2000,0.2975
Apache_hybrid,Apache,hybrid,supervised,nb,0.13771517996870108,0.23047381583870286,0.9936349771225216,0.9657266733842392,0.5369747899159664,0.7245,{'var_smoothing': 1e-09},10000,2000,0.2975
Apache_hybrid,Apache,hybrid,supervised,lr,0.5789473684210527,0.3874970512143078,0.9775100930051737,0.9711440016171207,0.6924070695894016,0.576,"{'C': 0.1, 'penalty': 'l2', 'solver': 'lbfgs'}",10000,2000,0.2975
Apache_hybrid,Apache,hybrid,supervised,knn,0.031496062992125984,-0.9618458878801492,0.0,0.15188879832119173,0.02689075630252101,0.016,"{'n_neighbors': 3, 'weights': 'distance'}",10000,2000,0.2975
Apache_hybrid,Apache,hybrid,supervised,svm,0.4332158245201723,-0.22505982701171495,0.3866933819791261,0.24236770802733254,0.4647058823529412,0.2765,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",10000,2000,0.2975
Apache_hybrid,Apache,hybrid,supervised,dt,0.04103967168262654,-0.11061126058420048,0.3903956458028051,0.21109936896788287,0.46954454379616617,0.6495,"{'max_depth': 10, 'min_samples_split': 2}",10000,2000,0.2975
Apache_hybrid,Apache,hybrid,supervised,rf,0.0408738548273432,-0.4802874417061448,0.16474535721762013,0.17907321866302686,0.24145159843296748,0.3195,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",10000,2000,0.2975
Apache_hybrid,Apache,hybrid,supervised,gb,0.23668639053254437,0.31015914025159846,0.9294620054427465,0.7953003253116336,0.5668710188701815,0.742,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50}",10000,2000,0.2975
Apache_hybrid,Apache,hybrid,supervised,xgb,0.10122699386503067,0.10544635465432063,0.94586919465295,0.7281082226777406,0.5191901671700708,0.707,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50}",10000,2000,0.2975
Apache_hybrid,Apache,hybrid,unsupervised,iso,0.0,0.0,0.028826220879811005,0.1634507793811737,0.5,0.7025,N/A,10000,2000,0.2975
Apache_hybrid,Apache,hybrid,unsupervised,ocsvm,0.0546875,-0.9232165648740597,0.07888274170878316,0.17830459107558383,0.04990579861837974,0.032,N/A,10000,2000,0.2975
Apache_hybrid,Apache,hybrid,unsupervised,lof,0.45857418111753373,0.0,0.6167983492329316,0.35944675912138174,0.5,0.2975,N/A,10000,2000,0.2975
BGL_bert,BGL,bert,supervised,nb,0.3801317790167258,0.05355808248508361,0.4038087933539193,0.7402221527323976,0.5262809937163698,0.3885,{'var_smoothing': 1e-09},10000,2000,0.7495
BGL_bert,BGL,bert,supervised,lr,0.4897595725734639,-0.023560122703593214,0.436061832306035,0.7610851404398202,0.48684885066424854,0.427,"{'C': 1.0, 'penalty': 'l2', 'solver': 'lbfgs'}",10000,2000,0.7495
BGL_bert,BGL,bert,supervised,knn,0.5861613045394447,0.20841412772917195,0.6194009579240451,0.8220700571780393,0.6170241238670091,0.5305,"{'n_neighbors': 3, 'weights': 'distance'}",10000,2000,0.7495
BGL_bert,BGL,bert,supervised,svm,0.48136217211228716,0.043544210254701496,0.5270379854034426,0.7858281303510212,0.5237510302943147,0.4365,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",10000,2000,0.7495
BGL_bert,BGL,bert,supervised,dt,0.6928953399541635,0.15877730467742351,0.5471245634148647,0.8414301729635946,0.590958177041514,0.598,"{'max_depth': 10, 'min_samples_split': 2}",10000,2000,0.7495
BGL_bert,BGL,bert,supervised,rf,0.47014218009478675,0.09533580119509255,0.5667251221373131,0.8158039322646957,0.5506731700042211,0.441,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 50}",10000,2000,0.7495
BGL_bert,BGL,bert,supervised,gb,0.5051871898962562,0.052581669568339665,0.5299074965479316,0.8009604159983572,0.5291065633908967,0.4515,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50}",10000,2000,0.7495
BGL_bert,BGL,bert,supervised,xgb,0.5456081081081081,-0.012374089363834348,0.5303655530832931,0.7650638277594792,0.49292209443687673,0.462,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50}",10000,2000,0.7495
BGL_bert,BGL,bert,unsupervised,iso,0.7784090909090909,0.2650140221675754,0.6267931115753815,0.8049069203380972,0.6450181691320495,0.688,N/A,10000,2000,0.7495
BGL_bert,BGL,bert,unsupervised,ocsvm,0.8526499708794408,0.08926642088130404,0.6590235140126685,0.818571878896629,0.5182656701273903,0.747,N/A,10000,2000,0.7495
BGL_bert,BGL,bert,unsupervised,lof,0.8566523605150215,0.025776894464101627,0.5262417127053431,0.788799962731898,0.5013288965764269,0.7495,N/A,10000,2000,0.7495
BGL_hybrid,BGL,hybrid,supervised,nb,0.3473684210526316,0.08488023447594789,0.6587532073944173,0.8342380800725323,0.5392150988217028,0.38,{'var_smoothing': 1e-09},10000,2000,0.7495
BGL_hybrid,BGL,hybrid,supervised,lr,0.48517042939353694,-0.051398254112523724,0.40116564735771953,0.747747847200005,0.47121167937640396,0.4185,"{'C': 0.1, 'penalty': 'l2', 'solver': 'lbfgs'}",10000,2000,0.7495
BGL_hybrid,BGL,hybrid,supervised,knn,0.33031218529707956,-0.09949571653971359,0.37435202976302234,0.6971476526611633,0.4507236361166926,0.335,"{'n_neighbors': 3, 'weights': 'distance'}",10000,2000,0.7495
BGL_hybrid,BGL,hybrid,supervised,svm,0.4184938036224976,-0.02506817636668637,0.3976663084771085,0.7569494092191431,0.486750315246758,0.39,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",10000,2000,0.7495
BGL_hybrid,BGL,hybrid,supervised,dt,0.6453846153846153,0.03201338756522257,0.46851061053343607,0.8104589378773264,0.5183761895821433,0.539,"{'max_depth': 10, 'min_samples_split': 2}",10000,2000,0.7495
BGL_hybrid,BGL,hybrid,supervised,rf,0.4160873882820258,0.08710761178322123,0.5701685355106998,0.8112943251083208,0.5439514566597292,0.412,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",10000,2000,0.7495
BGL_hybrid,BGL,hybrid,supervised,gb,0.49687778768956287,0.0002901513185665956,0.5220060213129445,0.794943665652268,0.5001617845030419,0.436,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50}",10000,2000,0.7495
BGL_hybrid,BGL,hybrid,supervised,xgb,0.5408207343412527,0.033829305775180805,0.5733975677730596,0.7891350052605614,0.519185112097353,0.4685,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50}",10000,2000,0.7495
BGL_hybrid,BGL,hybrid,unsupervised,iso,0.6268102487931675,-0.1197523405756357,0.4111669922330123,0.7210435348301566,0.43221961680375076,0.4975,N/A,10000,2000,0.7495
BGL_hybrid,BGL,hybrid,unsupervised,ocsvm,0.8324576765907764,-0.11252230479536462,0.5450340146924297,0.7713146015276602,0.47565043362241494,0.713,N/A,10000,2000,0.7495
BGL_hybrid,BGL,hybrid,unsupervised,lof,0.8622685185185185,0.1847999466299532,0.5191937672353758,0.7568706130088987,0.5309301343943201,0.762,N/A,10000,2000,0.7495
HPC_bert,HPC,bert,supervised,nb,0.2720527617477329,0.219778753647201,0.7005308498122087,0.4693569358726274,0.6847764604733246,0.5585,{'var_smoothing': 1e-09},10000,2000,0.098
HPC_bert,HPC,bert,supervised,lr,0.16105769230769232,0.016871386883931902,0.5842854880311327,0.29345963758181437,0.5132132675686683,0.651,"{'C': 1.0, 'penalty': 'l2', 'solver': 'lbfgs'}",10000,2000,0.098
HPC_bert,HPC,bert,supervised,knn,0.6,0.5561136941317352,0.8446861283315987,0.6281817258450002,0.8114054934612427,0.91,"{'n_neighbors': 3, 'weights': 'distance'}",10000,2000,0.098
HPC_bert,HPC,bert,supervised,svm,0.2071269487750557,0.08528348429603988,0.6817135390741663,0.32086391433895656,0.5684533236798046,0.644,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",10000,2000,0.098
HPC_bert,HPC,bert,supervised,dt,0.14068441064638784,-0.033607968119640674,0.5092198742024525,0.2419575386229258,0.47203493370740757,0.548,"{'max_depth': 10, 'min_samples_split': 2}",10000,2000,0.098
HPC_bert,HPC,bert,supervised,rf,0.19454329774614473,0.06684293043466248,0.6548854020543916,0.21700741782138144,0.5525872211412282,0.6605,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",10000,2000,0.098
HPC_bert,HPC,bert,supervised,gb,0.1721132897603486,0.028866069358308325,0.5685777636997149,0.11730716817554285,0.5233155346395765,0.62,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50}",10000,2000,0.098
HPC_bert,HPC,bert,supervised,xgb,0.15485278080697928,0.0011978622948834049,0.6051150504547717,0.17919496834775056,0.5009672383365763,0.6125,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50}",10000,2000,0.098
HPC_bert,HPC,bert,unsupervised,iso,0.08809135399673736,-0.057401918050321826,0.46797649214896603,0.1894419165574957,0.46078442463459884,0.7205,N/A,10000,2000,0.098
HPC_bert,HPC,bert,unsupervised,ocsvm,0.1669902912621359,-0.07129139317352995,0.47322842662563913,0.1868290052775549,0.46981763880718586,0.142,N/A,10000,2000,0.098
HPC_bert,HPC,bert,unsupervised,lof,0.17684594348222424,-0.09598591004715558,0.5426546450065615,0.16590042924097959,0.49489795918367346,0.097,N/A,10000,2000,0.098
HPC_hybrid,HPC,hybrid,supervised,nb,0.29036004645760743,0.21357540605277095,0.5884570568804017,0.22205982836523216,0.6692101452554414,0.6945,{'var_smoothing': 1e-09},10000,2000,0.098
HPC_hybrid,HPC,hybrid,supervised,lr,0.38320209973753283,0.31848902747152347,0.6773722792886556,0.24196685525426254,0.6551823611928141,0.8825,"{'C': 1.0, 'penalty': 'l2', 'solver': 'lbfgs'}",10000,2000,0.098
HPC_hybrid,HPC,hybrid,supervised,knn,0.040880503144654086,-0.1222784777370479,0.5008046178560117,0.09349075216196825,0.41481515000678765,0.695,"{'n_neighbors': 5, 'weights': 'distance'}",10000,2000,0.098
HPC_hybrid,HPC,hybrid,supervised,svm,0.3989769820971867,0.33386380517819764,0.706335693922802,0.2482115443442584,0.6665516539209919,0.8825,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",10000,2000,0.098
HPC_hybrid,HPC,hybrid,supervised,dt,0.20421393841166938,0.08170988691171407,0.5673701298701299,0.27354961123920113,0.5686569528032943,0.509,"{'max_depth': 10, 'min_samples_split': 5}",10000,2000,0.098
HPC_hybrid,HPC,hybrid,supervised,rf,0.16,0.017611119902948055,0.6469551789673741,0.161735141549439,0.5135979003574822,0.664,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 50}",10000,2000,0.098
HPC_hybrid,HPC,hybrid,supervised,gb,0.26254002134471716,0.1754434374729832,0.5914294764468981,0.13522056515155476,0.6424894791619531,0.6545,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50}",10000,2000,0.098
HPC_hybrid,HPC,hybrid,supervised,xgb,0.21434898139946856,0.09966742416406368,0.6971610706366804,0.1774957145025265,0.5836180370152495,0.5565,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50}",10000,2000,0.098
HPC_hybrid,HPC,hybrid,unsupervised,iso,0.15440289505428226,-0.05793333353969244,0.4926976333770759,0.10118705601390565,0.4567966876329246,0.299,N/A,10000,2000,0.098
HPC_hybrid,HPC,hybrid,unsupervised,ocsvm,0.17927710843373493,0.013106095488919643,0.4628263722340377,0.20387537725185023,0.5052547626589439,0.1485,N/A,10000,2000,0.098
HPC_hybrid,HPC,hybrid,unsupervised,lof,0.19846491228070176,0.09273288764854092,0.7700829223041765,0.2752965010577116,0.5606814787999457,0.269,N/A,10000,2000,0.098
OpenSSH_bert,OpenSSH,bert,supervised,nb,0.8471337579617835,-0.08619892407020183,0.9159525847619959,0.9813566870326778,0.4747629537400632,0.736,{'var_smoothing': 1e-09},10000,2000,0.788
